id,name,region_id,description,image_url
1,Bridge Of Sacrifice,1,"A busy bridge swarming with iron-clad foes. Be prepared to engage in an array of melee, ranged and artillery attacks or attempt to push past them",https://eldenring.fanapis.com/images/locations/17f69c5a795l0i2m72bjeqbh713r3o.png
2,Church Of Elleh,1,"Church of Elleh is a ruined building that hides a Site of Grace. The rooftop has caved in and offers no protection from the elements, and weeds are overtaking the walls, but this doesn't stop merchants from seeking what little shelter is on offer",https://eldenring.fanapis.com/images/locations/17f69869a3bl0i2m72p0sbjub568ch.png
3,Deathtouched Catacombs,1,"Catacombs filled with the stench of death, Skeletons dwell in the shadows",https://eldenring.fanapis.com/images/locations/17f69886115l0i2m7307w4njyfhwt5.png
4,Church Of Dragon Communion,1,The dilapidated remains of the Church of Dragon Communion showcase the ruin that came to the land. But could a flame still linger at its altar??,https://eldenring.fanapis.com/images/locations/17f697ae5eel0i2m74j1houvhsid9m.png
5,Coastal Cave,1,"Coastal Cave is a dark opening on the side of a cliff. Its mossy depths are overrun by hostile humanoid creatures, but those who brave it may find passage to new lands",https://eldenring.fanapis.com/images/locations/17f697edfb9l0i2m79bx2q2xwbbjtl.png
6,Dragon-burnt Ruins,1,"Dragon-Burnt Ruins are what remains of the housing area among Agheel Lake, long lost to the deadly attacks of the fierce Agheel Dragon",https://eldenring.fanapis.com/images/locations/17f6986ad2el0i2m7q7y6gl2myxkh8.png
7,Forlorn Hound Evergaol,1,"The southern Evergaol of Limgrave, before the entrance to Weeping Peninsula",https://eldenring.fanapis.com/images/locations/17f69d3927cl0i2m7rak61iym4ek.png
8,Fringefolk Hero's Grave,1,Fingefolk Hero's Grave is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within,https://eldenring.fanapis.com/images/locations/17f699ae4a0l0i2m7xeop7sxh8y65e.png
9,Fort Haight,1,"The overrun fort of Kenneth Haith, the alleged next ruler of Limgrave",https://eldenring.fanapis.com/images/locations/17f6981bb8al0i2m7z49o4mk7lid3.png
10,Divine Tower Of Limgrave,1,Closed with a giant set of doors. It looks like you need some pieces to interact with the tower.,https://eldenring.fanapis.com/images/locations/17f699007d5l0i2m80jyrpycbrgzml.png
11,Gatefront Ruins,1,"Gatefront Ruins is what remains of the now destroyed barracks near the fortification. Despite its poor state, it is a heavily guarded location by those loyal to Stormveil",https://eldenring.fanapis.com/images/locations/17f6961933bl0i2m880lere7qq0dqn.png
12,Limgrave Tunnels,1,"Limgrave Tunnels are a mine harvested for Glimstone. Its zealous miners don't dare venture into its hidden chambers, for fear of the hoarder Troll within",https://eldenring.fanapis.com/images/locations/17f698e05eel0i2m8lxtk1iuo5pp3.png
13,Groveside Cave,1,"Groveside Cave is a small refuge for wildlife in Limgrave. Its proximity to water and ease of access make it a sought-after shelter against bad weather, but those who venture in don't seem to return",https://eldenring.fanapis.com/images/locations/17f69bc29c9l0i2m8mjnl6ac43o3sa.png
